rule,horizon_days,signals,win_rate,loss_rate,average_return,median_return,p10_return,p25_return,p75_return,p90_return,best_return,worst_return,std_return,average_ex_top_1pct,top_1pct_profit_contribution,profit_factor,robustness_score
Reversal: RSI + Stoch + Support,1,5043,0.4507237755304382,0.5155661312710688,-0.0023847797526621,-0.0015556938394523,-0.0585117275749241,-0.0255721484042233,0.0189866349244944,0.0490016189962223,2.7189249720044795,-0.97,0.0707164080959906,-0.0054762419328518,0.1829750508705913,0.8743767250343573,17.608163755760184
Reversal: RSI + Stoch + Support,3,4996,0.47177742193755,0.5128102481985588,0.0069335562207292,-0.001993621682464,-0.0992266757020708,-0.0436950584195535,0.0361039273523934,0.0924171337037884,9.894495412844035,-0.823394495412844,0.2297133834242666,-0.0064303287522755,0.328924289268661,1.2069485660324453,27.76854164357391
Reversal: RSI + Stoch + Support,5,4944,0.4799757281553398,0.5062702265372169,0.010757015649536,-0.0012541076246943,-0.1221771771771772,-0.0543795763598326,0.0470523712490885,0.1202701119934132,6.24,-0.8623853211009174,0.2459138612317609,-0.0054992891467908,0.3114600225396616,1.2607011582624743,30.209977857806116
Reversal: RSI + Stoch + Support,10,4863,0.5151141270820481,0.4778943039276166,0.0128564236902466,0.0033388981636059,-0.189823834616247,-0.0754251062765691,0.0762581420780371,0.1793853746930576,9.459081836327346,-0.9803007518796992,0.2953228163026691,-0.0056007840693325,0.2552054866417337,1.2169864764436589,38.53098220615385
Reversal: RSI + Stoch + Support,20,4461,0.518269446312486,0.4772472539789285,0.0129418965362539,0.0063414634146341,-0.2815033161385409,-0.106267029972752,0.1018837888033963,0.2333333333333334,11.67605633802817,-0.9943790849673204,0.4125541369042316,-0.0136202507000365,0.2728101109935949,1.1541975217976252,40.803654902667645
Reversal: Hammer + Support,1,4046,0.4478497281265447,0.4008897676717746,0.0003123752293954,0.0,-0.020066858049407,-0.0031928392471882,0.0043017873317465,0.0195149687929757,0.7857142857142858,-0.4015233949945593,0.0327784610620761,-0.0013895353130446,0.2392640090048181,1.0463236767811803,20.926473535623604
Reversal: Hammer + Support,3,3993,0.4823441021788129,0.451289757074881,0.0016099283216506,0.0,-0.0356720202874049,-0.0067540723083036,0.0063091482649841,0.0360440340009375,1.946428571428572,-0.532994923857868,0.0699910753563334,-0.0023024156145187,0.2866004726700205,1.134581587373923,28.08231544394727
Reversal: Hammer + Support,5,3926,0.4982170147733061,0.4518593988792664,0.0017412107873656,0.0,-0.0488262205221933,-0.0096889253785804,0.0078720801492733,0.0484551714981499,1.6630083925112973,-0.6808429118773947,0.0828294941735328,-0.0030863129361033,0.2633071793102829,1.1056781716192454,30.14973256126926
Reversal: Hammer + Support,10,3781,0.5226130653266332,0.4464427400158688,0.0025866786536945,0.0009293680297397,-0.0731707317073171,-0.0148043375766147,0.0109979633401222,0.0722171113155474,5.148387096774193,-0.8235532994923858,0.1449332030302775,-0.0051965908382387,0.2792436286763629,1.103038928452129,35.0923241532212
Reversal: Hammer + Support,20,3376,0.5423578199052133,0.4401658767772511,0.0046462477558846,0.0019193928676688,-0.1070197044334975,-0.0209870331149977,0.0184757834757834,0.106145707500658,7.915789473684212,-0.9794871794871794,0.2342331481975259,-0.0080826520679122,0.3130411919188036,1.129916176979805,39.91068639146715
